Short description,Description,Caller,Assignment group
unable to log in to erp SID_34,unable to log in to erp SID_34,thwinauz ulzkaqnc,GRP_0
global erp crm:  please investigate why agbighyail espinosa's employee account in erp crm is not recognized as an employee,"hello,

it please advise the status on the below request.

hi nafghyncy,

agbighyail espinosa appears to be an active employee.  after all, she entered a bunch of sales orders in erp ecc over the last few days.  yet there is a central block on her employee account in erp crm so that it does not show up in the search results when we search for employee accounts using ""role is employee"".  unless you already know the reason for this, would you please check with hr why her account has a central block on it?  it seems like it could possibly be an error.


gracias /",aqtcmxuf kuxsnimy,GRP_15
engineering request 2248675 assignment (revise component),engineering request 2248675 assignment (revise component) has been completed but cannot be deleted from my workflow.,tqrlikex moxaebfq,GRP_11
unable to log in to supply_chain_software,unable to log in to supply_chain_software,fnqelwpk ahrskvln,GRP_0
ethics undeliverable e-mails,"good morning,

please review and advise on these ""undeliverable"" e-mail addresses.",crkdjbot qiztrxne,GRP_0
need to activate new iphone,need to activate new iphone,ombjicdy rlfbovdq,GRP_0
report not running properly and delivering results to dataloads-app,bex report is producing a report with 0 size instead of proper reporting.  xsdb_o20_db_credits is supposed to run on the 2nd of each month along with 3 other dashbankrd reports but for the last couple of months the report has been empty.  this has happened previously but only with the credits and not any of the 3 other reports.  please correct so it is available for next month.  this is for a global dashbankrd that is used in some areas for compensation.,qtiyzjaw rxtpbqvu,GRP_9
unable to access travel site,unable to access travel site,mnsejpby xsrdtvkw,GRP_0
password reset via password_management_tool password manager,password reset via password_management_tool password manager,tjlgzkbp iervwjzg,GRP_0
unable to post document to SID_34,unable to post document to SID_34 using spreadsheet.,kslhobgj cyhvefna,GRP_10
erp access issue,"system (SID_34, SID_37, SID_39, SID_38, hrp, other ?): SID_2

enter user id of user having the issue: vvgtycargvc


""user account not in validity date""",lokiwfhg udkoqrcg,GRP_2
password re-set,"received from: zenjimdghtybo.xirzfpob@gmail.com

hi,

please re-set mu login password for attendance_tool.


[cid:image001.jpg@01d2088d.049859f0]



with best",zenjimbo xirzfpob,GRP_0
delivery failures,"material # 7359351
location: plant_33
sto # 5019195083
product available. cannot create delivery.",koqntham sqiuctfl,GRP_6
my password is invalid. can you help me. thanks.,my password is invalid. can you help me.,jclrangd kjlnearz,GRP_0
computer not booting into windows,"touchpad and usb mouse not working 

computer not booting into windows",qkprzfew poliamdb,GRP_3
user has a new personal device for activation without the approval form.,"user has a new personal device for activation without the approval form.
-advised the user to forward the approval form to activate the company  email on personal device.",ombjicdy rlfbovdq,GRP_0
ticket update for inc1548457,ticket update for inc1548457,fumkcsji sarmtlhy,GRP_0
ticket update for ticket_no0437326,ticket update for ticket_no0437326,fumkcsji sarmtlhy,GRP_0
windows zdsxmcwu thdjzolw,windows zdsxmcwu thdjzolw,tjcpbliu eaiovlqh,GRP_0
unable to login to distributor_tool with new password and view saved customers details,unable to login to distributor_tool with new password and view saved customers details,fwvrsdly dzjnkayq,GRP_0
account unlock,account unlock,pdvjanwx oprdiygs,GRP_0
reset passwords for yolktfas fyoxqgvh using password_management_tool password reset.,the,yolktfas fyoxqgvh,GRP_17
expense reports submissions in my workflow,"received from: sbvlxuwm.yanbikrx@gmail.com

according to oneteam, jashyht mkuhtyhui (6566632) and qjeymnzs wgpelvyn (6456967) are part of my team now. however, their exepsne report submissions are not coming to my workflow for approval. please look into this and advise.",sbvlxuwm yanbikrx,GRP_0
terminated user called for access to the hub,terminated user called for access to the hub,olckhmvx pcqobjnd,GRP_0
vip2: sim card locked for the company provided phone,vip2: sim card locked for the company provided phone,ipmlkwce plhtfsqo,GRP_28
dob report showing blank data for yzugpdco nsyapewg,"this report was working up until september 3rd. now it shows no data when laurent opens the report within reporting_tool (browser).

report link used is as follows:
#/site/certified_content/views/dailyorderbillingreport/mtd-ctry?:iid=3 

output is per attached.",kyzhcsrq fwyltvpd,GRP_9
"the dynamics crm url checks is reporting a : down status on, company-crm-sp-mfg_tooltion.azurewebsites.net. please investigat","observing below alert in monitoring_tool since 10:50 am on 09/06 et:

application ""dynamics crm url checks"" on node ""company-crm-sp-mfg_tooltion.azurewebsites.net"" is down",jloygrwh acvztedi,GRP_60
need adobe flash player installed on the pc,need adobe flash player installed on the pc,wznkpjis rantlypb,GRP_0
Printer ag71 in fürth,"Received from: osjqfbvw.hlmgrfpx@gmail.com

Hi there,

Our network printer ag71 not hear more on print.
a ""guest"" seems to generate accidentally getting new print jobs or service technicians, according to the manufacturer hp a spool order is probably stored in the network - we can see the print jobs do not see track or stop.

all trying to cancel print jobs, failed, also pulling the plug or the lan cable is useless.

who can help?
according hp should the administrator can.

Thank you.

gabryltke bulk
Human Resources
osjqfbvw.hlmgrfpx@gmail.com <mailto: osjqfbvw.hlmgrfpx@gmail.com>


company shared services gmbh
Managing director: phvkowml azbtkqwx, naruedlk mpvhakdq


This message is unique and determined solely for use by the addressee and may contain information that is not covered for protection, confidential or under applicable law of the disclosure. the spread, distribution or duplication of this message by people, which are other than the intended recipient is strictly prohibited. if this message mistaking received by them due to, then please notify the sender and delete this message.
[# + Company / posts> [
select the Following link to view the disclaimer in on alternate language.",osjqfbvw hlmgrfpx,GRP_28
unable to login to pc after changing the password,unable to login to pc after changing the password,xgtyasdp xniowugc,GRP_0
"delivery due list created no delivery note for sto e.g. aw mm#4586645 sto#5019195160- plant_3, please forward to srinfhyath","deliver due list ews1 is multiple times running on daily basis. sometimes ddl does not create delivery notes from sto, even though material is available and shipping date overdue. 
1. check why ddl did not select sto 5019195160
2. check what sto are overdue 
3. adjust ddl 
4. keep user informed about your result. 
many",qgopxabz xnuieqjr,GRP_18
"circuit outage: vogelfontein, south africa , sa mpls circuit is down at 10:51 am et on 06/09. site is up on vpn circuit.","what type of outage:  _____network     __x___circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    _____no____     (yes/no/na) 

2. when did it start  ?   _______10:51 am et on 06/09______________

3.  scheduled maintenance ( power) ? _____no__    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? ___no____    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  ____yes__    (yes/no/na) 

6. backup circuit active ?   ______yes__     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   _____na______   (yes/no/na) 

9. equipment reset ?    ___na________    (yes/no/na) 

10. verified site working on backup circuit ?  _____yes__     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",rkupnshb gsmzfojw,GRP_8
unable to connect to vpn,unable to connect to vpn,yrhnxpvi drlbzqpi,GRP_0
mobile device activation - personally owned samsung s7,tom called in to get the device activated. please find the mobility agreement attached.,mxotdywa veycbhgu,GRP_0
windows password reset,windows password reset,pdvjanwx oprdiygs,GRP_0
7350 - 2nd battery not charging,"the battery on the display is charging up to 100% and it works.
the battery with the keybankrd is at 76% - plugged in, not charging.
he is not sure if he is using the charger for the docking station or the charger supplied with the 2 in 1 device.
we have swapped the power point, still no go.

updated bios from a08 to a10, still no go.

please advise...",nouivdea boiypjvx,GRP_3
reset the password for tsicojkp kghaozew on windows login,this is not resolved per the incident i placed earlier. i need my passwords reset.  please start with windows then i will attempt to update all with password_management_tool.,tsicojkp kghaozew,GRP_0
job Job_1953b failed in job_scheduler at: 09/06/2016 10:37:00,"received from: monitoring_tool@company.com

job Job_1953b failed in job_scheduler at: 09/06/2016 10:37:00",bpctwhsn kzqsbmtp,GRP_6
please reset my password for supply_chain_software.,please reset my password for supply_chain_software.,ockwafib wftboqry,GRP_0
ethics login not recognized,ethics login is not being recognized.,kslhobgj cyhvefna,GRP_0
unable to load outlook,unable to load outlook,wcrxkiqz zdsloriy,GRP_0
unable to print from the default printer,unable to print from the default printer,cowsvzel ryhkefwv,GRP_0
reset passwords for tsicojkp kghaozew using password_management_tool password reset.,i am locked out of password_management_tool id password manager to sync my passwords and my o365 password is not working. please reset my password.,tsicojkp kghaozew,GRP_17
employment status - three new non-employee [enter user's name],"*page down to ensure that all required data fields are complete before submitting*

use this template for consultants, temps, interns, vendors, etc.                   please complete all entries.
first name rita
last name baugtymli
location germany
manager / sponsor  lkwspqce knxaipyj
cost center ?
external company name deloitte & touche
what systems do they need access on erp SID_34
mii? no
         if yes – is user operator, admin or supervisor?
security note: for mii – add im:shopfloor_user_* to user's SID_34 account
is company email required for this person ? no
     if yes, by default a k1 license will be assigned for use of owa and collaboration_platform only, not outlook client, or skype.
     if outlook client or skype, are required, a more costly e1 license must be assigned, and can be used only on a company computer.
     assign a k1 or e1 license?     
access like who  (required – this is to review copy-from person's access for approvals) create SID_34 with it:auditor_v
requires access until (date)  09/30/2016
is the computer owned by company no
     if yes, is it a laptop or desktop ?                      computer name:
is remote access/vpn required lcitrixerpall
if yes, please provide to which all applications, erp systems, network servers the user needs access via vpn.start date 09/01/2016

first name maximgbilian
last name wilsfrtch
location germany
manager / sponsor  lkwspqce knxaipyj
cost center ?
external company name deloitte & touche
what systems do they need access on erp SID_34
mii? no
         if yes – is user operator, admin or supervisor?
security note: for mii – add im:shopfloor_user_* to user's SID_34 account
is company email required for this person ? no
     if yes, by default a k1 license will be assigned for use of owa and collaboration_platform only, not outlook client, or skype.
     if outlook client or skype, are required, a more costly e1 license must be assigned, and can be used only on a company computer.
     assign a k1 or e1 license?     
access like who  (required – this is to review copy-from person's access for approvals) create SID_34 with it:auditor_v
requires access until (date)  09/30/2016
is the computer owned by company no
     if yes, is it a laptop or desktop ?                      computer name:
is remote access/vpn required lcitrixerpall
if yes, please provide to which all applications, erp systems, network servers the user needs access via vpn.start date 09/01/2016


first name carolutyuin
last name votgygel
location germany
manager / sponsor  lkwspqce knxaipyj
cost center ?
external company name deloitte & touche
what systems do they need access on erp SID_34
mii? no
         if yes – is user operator, admin or supervisor?
security note: for mii – add im:shopfloor_user_* to user's SID_34 account
is company email required for this person ? no
     if yes, by default a k1 license will be assigned for use of owa and collaboration_platform only, not outlook client, or skype.
     if outlook client or skype, are required, a more costly e1 license must be assigned, and can be used only on a company computer.
     assign a k1 or e1 license?     
access like who  (required – this is to review copy-from person's access for approvals) create SID_34 with it:auditor_v
requires access until (date)  09/30/2016
is the computer owned by company no
     if yes, is it a laptop or desktop ?                      computer name:
is remote access/vpn required lcitrixerpall
if yes, please provide to which all applications, erp systems, network servers the user needs access via vpn.
start date 09/01/2016",lbqgystk uezmfhsn,GRP_2
need account adding to my crm,"received from: zfburidj.jmilguev@gmail.com

hi there,

can you please add the following account to my crm. it is one of my assigned accounts but i cannot see it.

account name - pow578ercor
erp # - 8185636495",zfburidj jmilguev,GRP_40
install zebra \we_wu101 \pfjwinbg ljtzbdqg,install zebra \we_wu101 \pfjwinbg ljtzbdqg,pfjwinbg ljtzbdqg,GRP_24
organisation chart data in outlook,"dear it team , 

pl look into below screen shot omfvxjpw htiemzsg is appearing in outlook in my org chart , pl remove the same .",thevrxbo makhtjcu,GRP_2
travelers,"received from: qcfmxgid.jvxanwre@gmail.com

good morning,

i have two more travel profiles.  please see attached/.

best",qcfmxgid jvxanwre,GRP_0
master cost center missing for a person number 11177056737,"master cost center missing for a person number 11567177037 - 
cost center should be ltu017",sclfndob gnibctwu,GRP_52
mismatch   between  plant_63  &  erp inventrory,"received from: ikerxqwz.prkyuitl@gmail.com

hello,

every month we see difference   in quantity   in inventory  between  plant_63  stocks  & erp   stocks   .

our assumption was that  in  erp  we inward   stock without paper (customer return  with- out paper but good for resale ) , but it is not so.

in this connection  attaching the  extraction of plant_63 register  as on 31.8.16 , erp inventory (plant_63)  and   workings which show difference between
 erp & plant_63   register

i have highlighted   few material  code  in red color which is the difference between    erp & plant_63   and   throws light   that inward   is made with paper  also  downloaded  screen shot of 2 material  code for your reference

request you to  investigate  and   revert  with reasons for such difference   .

this is time bound activity  and we expect this to be closed by sept 25  , 2016   as the same needs to  informed to the auditor  for  sept 30,2016 .",ikerxqwz prkyuitl,GRP_18
infopath issue - some rules were not applied,infopath issue - some rules were not applied,zidbmyut esmbcxor,GRP_0
blank call,blank call,fumkcsji sarmtlhy,GRP_0
circuit outage: circuit outage: company vpn circuit is down at 8:25 am et on 09/06. site is up on primary circuit,"what type of outage:  _____network     ___x__circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    ____slo site_____     (yes/no/na) 

2. when did it start  ?   ______8:25 am et on 09/06_______________

3.  scheduled maintenance ( power) ? __no_____    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? ___no____    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  ___yes___    (yes/no/na) 

6. backup circuit active ?   __yes______     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   ____na_______   (yes/no/na) 

9. equipment reset ?    ____na_______    (yes/no/na) 

10. verified site working on backup circuit ?  __yes_____     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",rkupnshb gsmzfojw,GRP_8
unable to log in to erp SID_34,unable to log in to erp SID_34,jtaronux xvurkcbi,GRP_0
request it loaner laptop; need on _09_ - _06_ - _2016_,"** loaners laptops are currently only available for usa employees in usa, pa (hq) and usa employees in usa, ar . we apologize for the inconvenience. **

need laptop on _09_ - _06_ - _2016_ (3 days notice is required for a loaner to be ready; laptops can be reserved no more than 2 weeks in advance).

will return laptop on 09_ - _07_ - _2016(laptops can be borrowed for a maximum of 3 weeks).

does user need remote access (vpn) ? no
if yes, who is the requester's manager (approval needed) ?

laptop comes with erp, vpn, etc.

additional software needed?:  

 office 2000 (word, excel, powerpoint) y/n? ____
 outlook y/n? ____

the following will be updated by it:

dell serial number = 
company asset tag = 

note: if the laptop and all parts are not returned as scheduled, the requestor's department will be charged replacement cost's.",ncksqfmz fzcjunai,GRP_3
help with mobile phones,"received from: mfizgpoy.akbvznci@gmail.com

good morning,

i'm having issues with my company phone and i am not sure who to contact to help me correct the issue. can i please get the contact that can help me solve this problem?",mfizgpoy akbvznci,GRP_0
unable to print. requesting for printer drivers.,unable to print. requesting for printer drivers.,kauozcir jlyqxise,GRP_0
impact award password reset,impact award password reset,jlpmakzb encpjsxq,GRP_0
hotwlygp afukzhnm - frequent account lockout,"account keeps locking out after the last password change,",hotwlygp afukzhnm,GRP_0
business_client - a plug-in is not responding,"i need to view attachments in er2248695, but i get an error ""a plug-in is not responding"" and i cannot see the attachments.  without seeing the attachments, i do not know what changes to make to the drawings and the parts are on hold in manufacturing.",irpvzhym kayqlbuh,GRP_0
account unlock,account unlock,qfcxbpht oiykfzlr,GRP_0
erp SID_34 account unlock,erp SID_34 account unlock,cplwfdjk djtriwby,GRP_0
fc on departments \ distribution,"moin marfhtyio,

Can you please mr lzuwmhpr riuheqsg for the drive departments (\\ HostName_717), distribution, permit forms. Thank you!


child",vzqomdgt jwoqbuml,GRP_12
problems with we95 \ printer does not print \ dknejifu dljvtebc,problems with we95 \ printer does not print \ dknejifu dljvtebc,dknejifu dljvtebc,GRP_24
account locked.,account locked.,pyeothbl agfxelwz,GRP_0
blank call,blank call,olckhmvx pcqobjnd,GRP_0
erp SID_34 account unlock,erp SID_34 account unlock,ujsyzrvw vjuyzcih,GRP_0
reset passwords for ugawcoye jcfqgviy using password_management_tool password reset.,the,ugawcoye jcfqgviy,GRP_17
tastatutur defekt \ eewhse \ vzqomdgt jwoqbuml,tastatutur defekt \ eewhse \ vzqomdgt jwoqbuml,vzqomdgt jwoqbuml,GRP_24
install EU_tool and zebra \ ewew8323506 \ zlqfptjx xnklbfua,install EU_tool and zebra \ ewew8323506 \ zlqfptjx xnklbfua,zlqfptjx xnklbfua,GRP_24
dock station - required,"received from: jmoqelbc.fbzsyjne@gmail.com

hello team,

can you please arrange a dock station for my laptop model – latitude e5450, please let me know if you required further details.

br,aghynil",jmoqelbc fbzsyjne,GRP_19
erp access issue bex hana,"system (SID_34, SID_37, SID_39, SID_38, hrp, other ?): SID_37

enter user id of user having the issue: dofghbmes

transaction code(s) the user needs or was working with: bex

describe the issue: 

password logon no longer possible - too many failed attempts

provide access the same as this other user:",lmwohkbd ucziatex,GRP_2
issues with the computer - error messages / not enough space,"issues with the computer. the user can't work. there are regular error messages regarding not enough space on the computer.
the files on the hard drive have been cleaned up, but the problem did not dierppear.  
user: effeghnk
computer name: efdw8111210
please see the attached screenshots with error messages.
the user tried contacting the it help via it chat support, but it did not work on this computer probably due to recent issues.
for further questions, please contact mizpywld dnrubpis at the tel.  or via sky business.",mizpywld dnrubpis,GRP_0
reset passwords for imuwhokc ijdfnayb using password_management_tool password reset.,i reset my password tonight and already forgot it. i can't log on to anything.,pdvjanwx oprdiygs,GRP_17
bobj - erp business objects,"received from: ctzykflo.evzbhgru@gmail.com

dear all,

can someone please check .

we do have some new sales employees but the name doesn't show in the ""sales plan vs actual"" bobj report.

we have f.ex. #


·        1044565291 = mjvfxnka zvjxuahe and

·        1044535680 = wohzmlib fxwjhapo.

can someone please check and let us know when we will also see the names of the sales people.

is there no automatic routine ?

[cid:image001.jpg@01d2082c.9c01e9c0]


[cid:image002.jpg@01d2082c.9c01e9c0]",ctzykflo evzbhgru,GRP_9
laptop login issue _kxmidsga zokivdfa,"received from: kxmidsga.zokivdfa@gmail.com

dear sir,
i am facing issue with login into laptop while starting

the below window is coming (screen shot attached). due to this i am not able to login when i am using laptop as an pad. keybankrd is not showing. so every time i have to connect it with keybankrd to enter user id & password.
laptop model:  dell latitude 7350

[cid:image001.jpg@01d20849.f8d3a360]

request you to kindly solve the problem.

best",kxmidsga zokivdfa,GRP_0
problems with outlook \ axesnghb cyzuomxa,problems with outlook \ axesnghb cyzuomxa,axesnghb cyzuomxa,GRP_24
visual studio 2015 license issue,"received from: rmezbnqt.ntbmkpuh@gmail.com

hi,
                visual studio professional 2015 in my machine has a license issue, warning message indicates license trial has been expired.

                but the coverage period for the existing vs2015 license is till 30nov2018.

                please refer to the attached image for the error description and license validity details.",rmezbnqt ntbmkpuh,GRP_19
"unable to send/receive emails from external parties - eonhuwlg sxthcobm, wydorpzi taxcizwv, praddgtip kumfgtyar","received from: izwtdnfq.xptuoaid@gmail.com

hi it team,

eonhuwlg sxthcobm cannot receive and send any emails to the external parties via his company email address. however, his colleague, wydorpzi taxcizwv wydorpzi.taxcizwv@gmail.com<mailto:wydorpzi.taxcizwv@gmail.com> can send and receive emails with no any issues.

kindly investigate the issue for debaghjsish and you can take sagar user to compare for the difference.

fyi, both of them are our fi outsource from partner and also got company email address in the same for fi operation support to us.

appreciate if you could prioritise to fix for us.",izwtdnfq xptuoaid,GRP_26
Read / Write authorization for m: \ kbt-auftrgasbearb,"hello marfhtyio,

Please teach me the Read / Write authorization for m: \ kbt-auftrgasbearb one.

thank anfghyudrejy


 

friendly greetings / child",htvepyua izgulrcf,GRP_12
job Job_2645 failed in job_scheduler at: 09/06/2016 03:30:00,"received from: monitoring_tool@company.com

job Job_2645 failed in job_scheduler at: 09/06/2016 03:30:00",bpctwhsn kzqsbmtp,GRP_6
please review  EU_tool  server in germany - HostName_755 - EU_tool is not working - very urgent,please review  EU_tool  server in germany - HostName_755 - EU_tool is not working - very urgent,xmysiufa emfdltqz,GRP_25
windows account locked,windows account locked,dwafrmth oabwzitv,GRP_0
reset passwords for pyeothbl agfxelwz using password_management_tool password reset.,reset passwords for pyeothbl agfxelwz using password_management_tool password reset.,pyeothbl agfxelwz,GRP_0
HostName_53:volume: f:\ label:dat2-HostName_53 d4e35b72 on server is over 95% space consumed. space available:  996.0 kb,HostName_53: f drive is 100% full.,mnlazfsr mtqrkhnx,GRP_12
reset passwords for pyeothbl agfxelwz using password_management_tool password reset.,please reset password aerp,pyeothbl agfxelwz,GRP_0
account password is expired,account is expired,moeyphif zfweijcb,GRP_31
"job que processor for engg database stopped, please restart","to the database team:
the job processor for the engg production system has stopped, please restart.",dmqxwkfr olmwqzpu,GRP_58
reset microsoft online services password,"from: microsoft on behalf of company inc. [mailto:msonlineservicesteam@microsoftonline.com] 
sent: tuesday, september 06, 2016 11:38 am
to: nwfodmhc exurcwkm
cc: tiyhum kuyiomar
subject: rad:request to reset microsoft online services password for rmezbnqt.ntbmkpuh@gmail.com
importance: high

    request to reset user's password   
   the following user in your organization has requested a password reset be performed for their account: 

• rmezbnqt.ntbmkpuh@gmail.com 
• first name: nihktgsh kurtyar  
• last name: kaghjtra 

consider contacting this user to validate this request is authentic before continuing. 

if you have determined that this is a valid request, use your service's admin portal (office 365, windows intune, windows azure, etc.) to reset the password for this user. 

want to let you users reset their own passwords? check out how you can enable password reset for users in your organization with just a few clicks. 

sincerely, 
company inc. 

         
   this message was sent from an unmonitored email address. please do not reply to this message.",rmezbnqt ntbmkpuh,GRP_0
not able to access SID_1,"received from: miecoszw.mhvbnodw@gmail.com

hi,

not able to access SID_1 system
user id- heghjyder


gajthyana hegdergyt
manager- finance
miecoszw.mhvbnodw@gmail.com<mailto:miecoszw.mhvbnodw@gmail.com>",miecoszw mhvbnodw,GRP_0
reset the password for guldiwmn aroqwuvz on erp / production / erp,i cannot log or change my erp password. ploease help.,guldiwmn aroqwuvz,GRP_0
job Job_1346 failed in job_scheduler at: 09/06/2016 02:03:00,"received from: monitoring_tool@company.com

job Job_1346 failed in job_scheduler at: 09/06/2016 02:03:00",bpctwhsn kzqsbmtp,GRP_9
vpn connection failure,"received from: xwertljy.zrmlhkyq@gmail.com

hello,

i am not able to connect to vpn.",xwertljy zrmlhkyq,GRP_0
"""\\ HostName_625 \ departments \ ehs_arbeitsmedizin"": please the responsible change of metghyjznk on roedfghtec","please the responsible of the folder ""\\ HostName_625 \ departments \ ehs_arbeitsmedizin"" Change of ozphysqw pgcmwqze (metghyjznk) on clara röder (roedfghtec) ... thanks!

please change the owner of this folder to vhebydgs rtmjwyvk (roedfghtec)",ozphysqw pgcmwqze,GRP_34
not able to login to system wh my user id and details on new hardware replaced,computer name  : aiml7801004,mcphgvnb bdegqtyj,GRP_19
job Job_1343 failed in job_scheduler at: 09/06/2016 01:13:00,"received from: monitoring_tool@company.com

job Job_1343 failed in job_scheduler at: 09/06/2016 01:13:00",bpctwhsn kzqsbmtp,GRP_9
"To delete an excel document, the document addresses: \\ HostName_17 \ teams \ business \ c2 qualitycontrol \ c25 quality project \ c251 k100 \ weekly layered process audi","To delete an excel document, ""kmfg0042f01r00 --- lpa countermeasures (fy17 total), the document addresses: \\ HostName_17 \ teams \ business \ c2 qualitycontrol \ c25 quality project \ c251 k100 \ weekly layered process audit \ fy17",rjxbiplo jmhnleaq,GRP_0
virus scanned,"received from: pxbqkfgm.qexvrmcn@gmail.com

hello,

pls. do the needful.

[cid:image003.jpg@01d20828.8bd3bff0]

vivthyek byuihand
asst manager- sales
company india ltd, india.",pxbqkfgm qexvrmcn,GRP_50
unable to connect to company wi-fi,unable to connect to company wi-fi,ntuhoafg bzwefjvk,GRP_0
attendance_tool id and password.,"received from: ojgfmvep.zbatowgi@gmail.com

hello,

need help as i forgot my attendance_tool login id and password.

with best",ojgfmvep zbatowgi,GRP_0
account locked out and password reset,account locked out and password reset,qklrdoba qxivmbts,GRP_0
not able to add id01 as printer in my laptop,"not able to add id01 as printer in my laptop. after installing driver, system throws up an error - can't add printer.",upfthmjx fdxrpqat,GRP_19
job Job_2110 failed in job_scheduler at: 09/06/2016 00:05:00,"received from: monitoring_tool@company.com

job Job_2110 failed in job_scheduler at: 09/06/2016 00:05:00",bpctwhsn kzqsbmtp,GRP_9
"ctrl, alt and delete keys are not working","ctrl ,alt and delete keys are not working
unable  to login to pc 
dell latitude 6420
contact no 


assisted user click on easy to access option
and enable type without key bankrd option
with help of cursor click on control ,alt and delete (no go)
delete button is not working",cjklxmhi hmrkzbxu,GRP_19
serious issue with transports in SID_37,"we observed that request SID_35k910228 was imported with warnings on 24th june has been re-imported twice on 16th july and 3rd sep. can you please check and share the details of why this is happening?

this is a serious issue as this request is trying to over-write the changes that were done post this transport.",petgvwch zevpkogu,GRP_14
reset microsoft online services password for jhyazros.azdxonjg@gmail.com,"from: microsoft on behalf of company inc. [mailto:msonlineservicesteam@microsoftonline.com] 
sent: tuesday, september 06, 2016 8:54 am
to: nwfodmhc exurcwkm
cc: tiyhum kuyiomar
subject: rad:request to reset microsoft online services password for jhyazros.azdxonjg@gmail.com
importance: high

    request to reset user's password   
   the following user in your organization has requested a password reset be performed for their account: 

• jhyazros.azdxonjg@gmail.com 
• first name: venfgugjhytpal 
• last name: nythug 

consider contacting this user to validate this request is authentic before continuing. 

if you have determined that this is a valid request, use your service's admin portal (office 365, windows intune, windows azure, etc.) to reset the password for this user. 

want to let you users reset their own passwords? check out how you can enable password reset for users in your organization with just a few clicks. 

sincerely, 
company inc. 

         
   this message was sent from an unmonitored email address. please do not reply to this message.",jhyazros azdxonjg,GRP_0
erp SID_34 kis error,"received from: pkdavqwt.tafrmxsh@gmail.com

hello it team,
dn 9168066866 was processed in erp kis, but its kis record was missed. its sf tracking number is 60666560449820.
could you find the cause and fix it?",pkdavqwt tafrmxsh,GRP_18
folder access request.,"received from: sepbdtou.noredzyx@gmail.com

hi,

please help to provide access to HostName_64\departments as follows:
p:\financemssg-apac\partner\ctc
person to access:
lxkecjgr fwknxupq : lxkecjgr.fwknxupq@gmail.com<mailto:lxkecjgr.fwknxupq@gmail.com>
fjzywdpg vkdobexr : fjzywdpg.vkdobexr@gmail.com<mailto:fjzywdpg.vkdobexr@gmail.com>
tnorudbf lauftqmd: tnorudbf.lauftqmd@gmail.com

p:\financemssg-apac\partner\rtr
person to access:
qcjevayr xirwgjks: qcjevayr.xirwgjks@gmail.com<mailto:qcjevayr.xirwgjks@gmail.com>
nil madhaw rai: hkjfmcqo.gpcxltar@gmail.com<mailto:hkjfmcqo.gpcxltar@gmail.com>
uyocgasl ogabwxzv: uyocgasl.ogabwxzv@gmail.com<mailto:uyocgasl.ogabwxzv@gmail.com>
nfdtriwx lriupqct: nfdtriwx.lriupqct@gmail.com<mailto:nfdtriwx.lriupqct@gmail.com>

level of access: full control",sepbdtou noredzyx,GRP_12
unable to login windows,unable to login windows,cjklxmhi hmrkzbxu,GRP_19
system is not booting up,system is not booting up,vkezwolt fgnqzeai,GRP_19
windows account locked,windows account locked,cjklxmhi hmrkzbxu,GRP_0
unable to receive mail from bank of amerirtca (cash pro online),"i have raised a request for access in the bank portal but i cannot receive mail from them.
kindly assist.",hkjfmcqo gpcxltar,GRP_26
windows account locked,windows account locked,urevbjcp krcaylpz,GRP_0
account locked out and password reset,account locked out and password reset,tcbonyes gpfacron,GRP_0
job Job_2555 failed in job_scheduler at: 09/05/2016 22:00:00,"received from: monitoring_tool@company.com

job Job_2555 failed in job_scheduler at: 09/05/2016 22:00:00",bpctwhsn kzqsbmtp,GRP_10
can not serch my engineering_tool,"hello
i can not serch for my engineering_tool if i specify the date.
the error on the bottom of the window shows that i do not have the access to it.
please give me the access.",cuytdmhv yeqdmwvt,GRP_0
